Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2548203,"The Tub of Happiness (Schlock Mercenary, #1)",Howard Tayler,"Tayler, Howard",,"=""0977907406""","=""9780977907403""",4,The Tayler Corporation,Paperback,240,2007,2007,2011/09/02,2011/08/14,,,read,"Great comic! Hilarious!  I'm going to get the next installment, The Teraport Wars.  I highly recommend it.  You can view these comics for free online (it's a web comic).",,,1,1
11826403,"The Fires of Heaven (Wheel of Time, #5)",Robert Jordan,"Jordan, Robert","Kate Reading, Michael Kramer","=""""","=""""",4,Macmillan Audio,Audible Audio,14,2005,1993,2010/09/02,2011/07/15,,,read,"**Date finished reading is an approximation, but accurate within a month.",,,1,0
192524,Angelmass,Timothy Zahn,"Zahn, Timothy",,"=""081258418X""","=""9780812584189""",3,Tor Science Fiction,Paperback,554,2002,2001,2011/08/11,2011/07/11,,,read,,,,1,1
2451770,The Silver Chair (Chronicles of Narnia),C.S. Lewis,"Lewis, C.S.",,"=""0563504668""","=""9780563504665""",3,BBC Audiobooks,Audio CD,4,2005,1953,2011/08/05,2011/07/16,,,read,"Listened to the CD version - a good, pleasant read.",,,1,0
232311,A Dash of Style: The Art and Mastery of Punctuation,Noah Lukeman,"Lukeman, Noah",,"=""0393329801""","=""9780393329803""",0,W. W. Norton & Company,Paperback,206,2007,2005,,2011/07/30,to-read,to-read (#48),to-read,,,,0,0
4629922,The Tragedy of Macbeth Part II,Noah Lukeman,"Lukeman, Noah",,"=""1605980110""","=""9781605980119""",0,Pegasus Books,Hardcover,208,2008,2008,,2011/07/30,to-read,to-read (#47),to-read,,,,0,0
22435,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,"Greene, Brian",,"=""0965900584""","=""9780965900584""",0,Alfred Knopf,Paperback,569,2004,2004,,2011/07/30,to-read,to-read (#46),to-read,,,,0,0
22543,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393062244""","=""9780393062243""",0,W. W. Norton & Company,Hardcover,384,2007,2006,,2011/07/30,to-read,to-read (#45),to-read,,,,0,0
33426,"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the Tenth Dimension",Michio Kaku,"Kaku, Michio",,"=""0192861891""","=""9780192861894""",0,Oxford Univ Pr (T),Paperback,359,1995,1994,,2011/07/30,to-read,to-read (#44),to-read,,,,0,0
29036,The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,"Barry, John M.",,"=""0143036491""","=""9780143036494""",0,Penguin Books,Paperback,546,2005,2004,,2011/07/30,to-read,to-read (#43),to-read,,,,0,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",0,Harper Press,Paperback,170,2005,-500,,2011/07/21,to-read,to-read (#42),to-read,,,,0,0
12034435,The Professor (Perennial Favorites Collection),Charlotte Brontë,"Brontë, Charlotte",,"=""1410430944""","=""9781410430946""",5,Kennebec Large Print,Paperback,378,2010,1857,2006/10/07,2011/07/14,,,read,"**This book is not the same edition that I read.  One of the things that stood out to me about it is the beauty with which it is written.  The quality is unbelievable.  Even though the story was not particularly riveting, somehow, I could not help but to enjoy it and keep reading.  I felt like I was reading poetry in prose.  ""Now this,"" I remember thinking, ""is a real book.""  I wish more modern novels had the intense quality of this book.  As you read it, one can almost feel your brain cells expanding.",,,1,0
144127,"The Runelords (Runelords, #1)",David Farland,"Farland, David",,"=""0812541626""","=""9780812541625""",0,Tor Fantasy,Mass Market Paperback,613,1999,1998,,2011/07/19,to-read,to-read (#41),to-read,,,,0,0
185289,"Dragon Prince (Dragon Prince, #1)",Melanie Rawn,"Rawn, Melanie",,"=""0756403014""","=""9780756403010""",0,Astra Publishing House,Paperback,561,2005,1988,,2011/07/19,to-read,to-read (#40),to-read,,,,0,0
44659,"Pawn of Prophecy (The Belgariad, #1)",David Eddings,"Eddings, David",,"=""0345468643""","=""9780345468642""",0,Del Rey,Paperback,304,2004,1982,,2011/07/19,to-read,to-read (#39),to-read,,,,0,0
61974,"Nerilka's Story (Pern, #8)",Anne McCaffrey,"McCaffrey, Anne",,"=""0345419588""","=""9780345419583""",0,Del Rey,Paperback,182,1997,1987,,2011/07/19,to-read,to-read (#38),to-read,,,,0,0
20082,"The Renegades of Pern (Pern, #10)",Anne McCaffrey,"McCaffrey, Anne",,"=""0345419391""","=""9780345419392""",0,Del Rey,Paperback,384,1997,1989,,2011/07/19,to-read,to-read (#37),to-read,,,,0,0
